Provincia,Partido ,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,conectividad
CORDOBA,San Javier,Villa de las Rosas,0,0,0,0,0,1,0,0,0,SI
ENTRE RIOS,,General Almada,0,0,0,0,1,0,0,0,0,SI
ENTRE RIOS,Gualeguaychú,Irazusta,0,0,0,0,0,0,1,0,0,SI
BUENOS AIRES,,San Emilio,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Emilio V. Bunge,0,0,0,0,1,1,0,0,0,SI
BUENOS AIRES,,Pichincha,0,0,0,0,0,0,0,0,1,SI
BUENOS AIRES,General Villegas,Piedritas,0,0,0,1,0,1,1,1,0,SI
BUENOS AIRES,,Fortín Tiburcio,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Junín,Paraje La Agraria,0,0,0,0,0,0,0,0,0,NO
CORRIENTES,Berón de Astrada,Yahapé,0,0,0,0,0,0,0,0,0,NO
CORRIENTES,Capital,Barrio Esperanza,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Moron,1,1,0,1,1,1,0,1,0,SI
BUENOS AIRES,Navarro,Villa Moll (Est. Moll),0,0,0,1,0,0,1,0,0,SI
BUENOS AIRES,,Villa Alfredo Fortabat,1,0,0,0,1,1,0,0,0,SI
BUENOS AIRES,Patagones,Carmen de Patagones,0,0,1,1,0,1,1,0,1,SI
BUENOS AIRES,,José B. Casas,0,0,0,0,0,0,0,1,0,SI
BUENOS AIRES,,Villalonga,1,0,0,1,1,1,0,0,0,SI
CABA,,VILLA CRESPO,1,1,0,1,1,1,0,0,1,SI
CORDOBA,San Javier,Villa La Viña,0,0,0,0,0,0,0,1,0,SI
BUENOS AIRES,,Claromecó,1,0,0,0,0,0,0,1,0,SI
BUENOS AIRES,,Copetonas,0,0,0,1,1,1,0,1,0,SI
BUENOS AIRES,,Reta,0,0,0,0,1,1,0,1,0,SI
BUENOS AIRES,Tres Arroyos,Tres Arroyos,0,1,1,1,0,1,1,1,1,SI
BUENOS AIRES,,Pablo Podestá,1,1,0,1,1,1,0,1,0,SI
BUENOS AIRES,Tres De Febrero,Saenz Peña,0,1,0,1,0,0,1,1,1,SI
BUENOS AIRES,,Villa Bosch (Est. Juan Maria Bosch),1,1,0,1,1,1,0,0,0,SI
BUENOS AIRES,Quilmes,Ezpeleta Oeste,0,1,1,1,0,1,1,0,0,SI
BUENOS AIRES,,11 De Septiembre,1,1,0,1,1,1,0,0,1,SI
BUENOS AIRES,Tres De Febrero,Churruca,0,0,0,1,0,1,1,0,0,SI
BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,0,1,0,1,0,1,1,0,0,SI
CORDOBA,,Pasco,0,0,0,1,1,0,0,0,0,SI
CORDOBA,,Villa Albertina,0,0,0,0,1,1,0,0,0,SI
CORDOBA,General San Martín,Villa Nueva,0,1,0,1,0,1,1,1,0,SI
CORDOBA,,Chuña,0,0,0,0,1,0,0,1,1,SI
CORDOBA,Ischilín,Copacabana,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Deán Funes,1,1,0,1,1,1,0,0,0,SI
CORDOBA,,Los Chañaritos,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Ischilín,Quilino,0,0,0,1,0,0,1,0,0,SI
CORDOBA,Ischilín,San Pedro de Toyos,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Pilar,Del Viso,0,1,0,1,0,1,1,0,0,SI
BUENOS AIRES,,La Lonja,1,1,0,1,1,1,0,1,0,SI
BUENOS AIRES,Pilar,Los Cachorros,0,0,0,0,0,1,0,0,0,SI
BUENOS AIRES,Pilar,Maquinista F. Savio (oeste),0,0,0,0,0,1,0,1,0,SI
CORDOBA,Juárez Celman,Alejandro Roca (Est. Alejandro),0,0,0,0,0,1,1,1,0,SI
BUENOS AIRES,,Huanguelén,0,0,0,1,1,1,0,1,0,SI
BUENOS AIRES,Coronel Suárez,Santa Trinidad,0,1,0,1,0,1,1,0,0,SI
BUENOS AIRES,,Andant,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Daireaux,Daireaux,0,0,0,0,0,0,1,1,0,SI
BUENOS AIRES,,Salazar,0,0,0,0,1,1,0,1,0,SI
BUENOS AIRES,Carlos Casares,Carlos Casares,0,1,1,1,0,1,1,0,0,SI
